Code,Description,Category,Price Excl.,Price Incl.,Avg Cost,Last Cost,Qty On Hand,Active
F4540-12040,M12 x 40 Socket Head Cap Screw St/St 304(A2) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4541-12040,M12 x 40 Socket Head Cap Screw St/St 316(A4) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F34712045,M12 x 40 Stud Eng St/St A4,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F36912040,M12 x 40 Stud RB + Ferrule St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-12040125,M12 x 40 x 1.25 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4532-12040125,M12 x 40 x 1.25 Socket Head Cap Screw G12.9 E/G DIN912 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-1204015,M12 x 40 x 1.5 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1641-124030,M12 x 40 x 3.0 Special Washer E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1643-124030,M12 x 40 x 3.0 Special Washer Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1701-1204030,M12 x 40 x 3.0 Square Washer E/G DIN436,Fastners,0.0000,0.0000,1.1100,1.1100,0.0000,Yes
F1702-1204030,M12 x 40 x 3.0 Square Washer HDG DIN436,Fastners,0.0000,0.0000,6.8500,500.0000,116.0000,Yes
F1710-1204030,M12 X 40 X 3.0 Square Washer S/C,Fastners,0.0000,0.0000,7.1300,7.1300,100.0000,Yes
F1701-120404,M12 x 40 x 4.0 Square Washer E/G DIN436,Fastners,0.0000,0.0000,1.1100,1.1100,100.0000,Yes
F1704-1204040,M12 x 40 x 4.0 Square Washer St/St A2 DIN436,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1641-124050,M12 x 40 x 5.0 Special Washer E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0531-12045,M12 x 45 Bolt High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0533-12045,M12 x 45 Bolt High Tensile Grade 8.8 Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0600-12045,M12 x 45 Bolt Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4651-12045,M12 x 45 Button Head Cap Screw Gr 10.9 E/G ISO7380 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4650-12045,M12 x 45 Button Head Cap Screw Gr 10.9 S/C ISO7380,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4591-12045,M12 x 45 Countersunk Cap Screw Gr 10.9 E/G DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,4.3600,4.3600,0.0000,Yes
F4592-12045,M12 x 45 Countersunk Cap Screw Gr 10.9 HDG DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,2.2500,2.2500,0.0000,Yes
F4590-12045,M12 x 45 Countersunk Cap Screw Gr 10.9 S/C DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4600-12045,M12 x 45 Countersunk Cap Screw St/St 304(A2) DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F2101-12045,M12 x 45 Countersunk Machine Screw Slotted E/G DIN963,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F2105-12045,M12 x 45 Countersunk Machine Screw Slotted Stainless Steel 304(A2) DIN963,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0700-12045,M12 x 45 Countersunk NIB Bolt Grade 4.8 S/C SANS1143,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1036-12045,M12 x 45 Coupling Nut Mild Steel E/G,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F2117-12045,M12 x 45 CSK Machine Screw Slotted Gr 8.8 HDG DIN963 (High Tensile),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4611-12045,M12 x 45 Grub Screw Cup Point Gr 45H E/G DIN916 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4610-12045,M12 x 45 Grub Screw Cup Point Gr 45H S/C DIN916,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0790-12045,M12 x 45 Set Screw High Tensile Grade 10.9 S/C DIN933,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0781-12045,M12 x 45 Set Screw High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,2.2000,2.2000,22.0000,Yes
F0781-12045I,M12 x 45 Set Screw High Tensile Grade 8.8 E/G ISO,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0782-12045,M12 x 45 Set Screw High Tensile Grade 8.8 HDG,Fastners,0.0000,0.0000,3.0400,3.0400,0.0000,Yes
FSET-B5-12045,M12 X 45 Set Screw High Tensile Grade 8.8 S/C DIN 933,Fastners,0.0000,0.0000,0.0000,0.0000,-300.0000,No
F0770-12045,M12 x 45 Set Screw High Tensile Grade 8.8 S/C DIN933,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0780-12045,M12 x 45 Set Screw High Tensile Grade 8.8 S/C ISO4017,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0783-12045,M12 x 45 Set Screw High Tensile Grade 8.8 Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0751-12045,M12 x 45 Set Screw Mild Steel Grade 4.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0761-12045,M12 x 45 Set Screw Mild Steel Grade 4.8 E/G ISO,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0762-12045,M12 x 45 Set Screw Mild Steel Grade 4.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0760-12045,M12 x 45 Set Screw Mild Steel Grade 4.8 S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0763-12045,M12 x 45 Set Screw Mild Steel Grade 4.8 Y/P,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0850-12045,M12 x 45 Set Screw Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0860-12045,M12 x 45 Set Screw Stainless Steel Grade 316 (A4),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4521-12045,M12 x 45 Socket Head Cap Screw Gr 12.9 E/G DIN912 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4520-12045,M12 x 45 Socket Head Cap Screw Gr 12.9 S/C DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4540-12045,M12 x 45 Socket Head Cap Screw St/St 304(A2) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4541-12045,M12 x 45 Socket Head Cap Screw St/St 316(A4) DIN912,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5500-12045,M12 x 45 Straight-Type Spring Pin ISO8752 (Roll Pin - Sellok),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1640-124512,M12 x 45 x 1.2 Special Washer S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-12045125,M12 x 45 x 1.25 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0801-1204515,M12 x 45 x 1.5 Set Screw HT Grade 8.8 E/G DIN961 Metric Fine,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F1644-124516,M12 x 45 x 1.6 Special Washer St/St A2,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0540-12050,M12 x 50 Bolt High Tensile Grade 10.9 S/C,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0531-12050,M12 x 50 Bolt High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0532-12050,M12 x 50 Bolt High Tensile Grade 8.8 HDG,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0530-12050,M12 x 50 Bolt High Tensile Grade 8.8 S/C ISO4014,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0600-12050,M12 x 50 Bolt Stainless Steel Grade 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4651-12050,M12 x 50 Button Head Cap Screw Gr 10.9 E/G ISO7380 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4650-12050,M12 x 50 Button Head Cap Screw Gr 10.9 S/C ISO7380,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4655-12050,M12 x 50 Button Head Cap Screw St/St 304(A2) ISO7380,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4656-12050,M12 x 50 Button Head Cap Screw St/St 316(A4) ISO7380,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F3011-12050,M12 x 50 Coach Screw E/G DIN571,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4591-12050,M12 x 50 Countersunk Cap Screw Gr 10.9 E/G DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,3.8200,3.8200,-300.0000,Yes
F4592-12050,M12 x 50 Countersunk Cap Screw Gr 10.9 HDG DIN7991 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4590-12050,M12 x 50 Countersunk Cap Screw Gr 10.9 S/C DIN7991,Fastners,0.0000,0.0000,3.7500,3.7500,0.0000,Yes
F4600-12050,M12 x 50 Countersunk Cap Screw St/St 304(A2) DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4601-12050,M12 x 50 Countersunk Cap Screw St/St 316(A4) DIN7991,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F2105-12050,M12 x 50 Countersunk Machine Screw Slotted Stainless Steel 304(A2) DIN963,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0701-12050,M12 x 50 Countersunk NIB Bolt Grade 4.8 E/G SANS1143,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0700-12050,M12 x 50 Countersunk NIB Bolt Grade 4.8 S/C SANS1143,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0706-12050,M12 x 50 Cup Square Bolt & Nut Grade 4.8 E/G SANS1143,Fastners,0.0000,0.0000,4.2700,4.2700,0.0000,Yes
F0705-12050,M12 x 50 Cup Square Bolt & Nut Grade 4.8 S/C SANS1143,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0709-12050,M12 x 50 Cup Square Bolt Grade 4.8 E/G DIN603,Fastners,0.0000,0.0000,3.1300,3.1300,200.0000,Yes
F0708-12050,M12 x 50 Cup Square Bolt Stainless Steel 304 (A2),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4611-12050,M12 x 50 Grub Screw Cup Point Gr 45H E/G DIN916 (NOT CERTIFIED),Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F4610-12050,M12 x 50 Grub Screw Cup Point Gr 45H S/C DIN916,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F5320-12050,M12 x 50 Rivet Solid Round Head Steel,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0840-12050,M12 x 50 Set Screw Brass DIN933,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0790-12050,M12 x 50 Set Screw High Tensile Grade 10.9 S/C DIN933,Fastners,0.0000,0.0000,0.0000,0.0000,0.0000,Yes
F0781-12050,M12 x 50 Set Screw High Tensile Grade 8.8 E/G DIN,Fastners,0.0000,0.0000,2.3300,2.3300,-8.0000,Yes
